filing_date,count,component
2001-12-31,6,adoption_domestic
2002-12-31,11,adoption_domestic
2003-12-31,21,adoption_domestic
2004-12-31,19,adoption_domestic
2005-12-31,19,adoption_domestic
2006-12-31,16,adoption_domestic
2007-12-31,14,adoption_domestic
2008-12-31,25,adoption_domestic
2009-12-31,19,adoption_domestic
2010-12-31,17,adoption_domestic
2011-12-31,20,adoption_domestic
2012-12-31,21,adoption_domestic
2013-12-31,24,adoption_domestic
2014-12-31,19,adoption_domestic
2015-12-31,23,adoption_domestic
2016-12-31,20,adoption_domestic
2017-12-31,20,adoption_domestic
2018-12-31,22,adoption_domestic
2019-12-31,278,adoption_domestic
2020-12-31,345,adoption_domestic
2021-12-31,408,adoption_domestic
2022-12-31,453,adoption_domestic
2023-12-31,463,adoption_domestic
2024-12-31,466,adoption_domestic
2025-12-31,481,adoption_domestic
2025-12-31,6,risk_domestic
